fecha_hora,humedad_m3_m3
2026-03-02 00:00:00,0.320066
2026-03-02 00:30:00,0.321305
2026-03-02 01:00:00,0.321181
2026-03-02 01:30:00,0.325988
2026-03-02 02:00:00,0.317552
2026-03-02 02:30:00,0.318735
2026-03-02 03:00:00,0.325388
2026-03-02 03:30:00,0.318709
2026-03-02 04:00:00,0.416147
2026-03-02 04:30:00,0.312558
2026-03-02 05:00:00,0.316512
2026-03-02 05:30:00,0.322998
2026-03-02 06:00:00,0.31931
2026-03-02 06:30:00,0.320494
2026-03-02 07:00:00,0.314776
2026-03-02 07:30:00,0.313877
2026-03-02 08:00:00,0.309504
2026-03-02 08:30:00,0.31692
2026-03-02 09:00:00,0.310971
2026-03-02 09:30:00,0.311588
2026-03-02 10:00:00,0.312751
2026-03-02 10:30:00,0.315602
2026-03-02 11:00:00,0.311967
2026-03-02 11:30:00,0.311783
2026-03-02 12:00:00,0.319803
2026-03-02 12:30:00,0.311456
2026-03-02 13:00:00,0.312473
2026-03-02 13:30:00,0.313902
2026-03-02 14:00:00,0.318543
2026-03-02 14:30:00,0.306959
2026-03-02 15:00:00,0.313215
2026-03-02 15:30:00,0.311469
2026-03-02 16:00:00,0.314951
2026-03-02 16:30:00,0.315276
2026-03-02 17:00:00,0.30438
2026-03-02 17:30:00,0.30867
2026-03-02 18:00:00,0.307571
2026-03-02 18:30:00,0.315986
2026-03-02 19:00:00,0.316545
2026-03-02 19:30:00,0.309533
2026-03-02 20:00:00,0.314319
2026-03-02 20:30:00,0.309191
2026-03-02 21:00:00,0.304253
2026-03-02 21:30:00,0.307052
2026-03-02 22:00:00,0.407017
2026-03-02 22:30:00,0.308905
2026-03-02 23:00:00,0.303832
2026-03-02 23:30:00,0.412774
2026-03-03 00:00:00,0.311723
2026-03-03 00:30:00,0.406829
2026-03-03 01:00:00,0.307728
2026-03-03 01:30:00,0.303449
2026-03-03 02:00:00,0.306784
2026-03-03 02:30:00,0.301665
2026-03-03 03:00:00,0.303372
2026-03-03 03:30:00,0.309299
2026-03-03 04:00:00,0.404222
2026-03-03 04:30:00,0.311413
2026-03-03 05:00:00,0.401154
2026-03-03 05:30:00,0.309068
2026-03-03 06:00:00,0.312818
2026-03-03 06:30:00,0.307493
2026-03-03 07:00:00,0.407438
2026-03-03 07:30:00,0.309408
2026-03-03 08:00:00,0.310531
2026-03-03 08:30:00,0.306951
2026-03-03 09:00:00,0.303522
2026-03-03 09:30:00,0.304686
2026-03-03 10:00:00,0.304338
2026-03-03 10:30:00,0.301291
2026-03-03 11:00:00,0.295081
2026-03-03 11:30:00,0.40903
2026-03-03 12:00:00,0.309947
2026-03-03 12:30:00,0.295539
2026-03-03 13:00:00,0.303185
2026-03-03 13:30:00,0.306661
2026-03-03 14:00:00,0.30661
2026-03-03 14:30:00,0.297972
2026-03-03 15:00:00,0.305081
2026-03-03 15:30:00,0.299947
2026-03-03 16:00:00,0.30816
2026-03-03 16:30:00,0.29446
2026-03-03 17:00:00,0.295077
2026-03-03 17:30:00,0.400791
2026-03-03 18:00:00,0.303064
2026-03-03 18:30:00,0.301691
2026-03-03 19:00:00,0.301297
2026-03-03 19:30:00,0.308833
2026-03-03 20:00:00,0.307482
2026-03-03 20:30:00,0.307781
2026-03-03 21:00:00,0.299603
2026-03-03 21:30:00,0.304944
2026-03-03 22:00:00,0.300756
2026-03-03 22:30:00,0.294107
2026-03-03 23:00:00,0.295576
2026-03-03 23:30:00,0.290865
2026-03-04 00:00:00,0.300845
2026-03-04 00:30:00,0.292469
2026-03-04 01:00:00,0.303204
2026-03-04 01:30:00,0.296033
2026-03-04 02:00:00,0.398758
2026-03-04 02:30:00,0.302582
2026-03-04 03:00:00,0.305668
2026-03-04 03:30:00,0.29603
2026-03-04 04:00:00,0.307956
2026-03-04 04:30:00,0.295527
2026-03-04 05:00:00,0.294684
2026-03-04 05:30:00,0.30147
2026-03-04 06:00:00,0.29917
2026-03-04 06:30:00,0.299259
2026-03-04 07:00:00,0.293469
2026-03-04 07:30:00,0.293202
2026-03-04 08:00:00,0.403627
2026-03-04 08:30:00,0.303211
2026-03-04 09:00:00,0.29794
2026-03-04 09:30:00,0.297323
2026-03-04 10:00:00,0.294414
2026-03-04 10:30:00,0.295794
2026-03-04 11:00:00,0.298805
2026-03-04 11:30:00,0.296425
2026-03-04 12:00:00,0.297332
2026-03-04 12:30:00,0.299993
2026-03-04 13:00:00,0.291055
2026-03-04 13:30:00,0.293931
2026-03-04 14:00:00,0.297783
2026-03-04 14:30:00,0.300172
2026-03-04 15:00:00,0.293628
2026-03-04 15:30:00,0.301906
2026-03-04 16:00:00,0.298346
2026-03-04 16:30:00,0.298077
2026-03-04 17:00:00,0.398514
2026-03-04 17:30:00,0.298875
2026-03-04 18:00:00,0.294872
2026-03-04 18:30:00,0.300295
2026-03-04 19:00:00,0.296569
2026-03-04 19:30:00,0.302543
2026-03-04 20:00:00,0.291959
2026-03-04 20:30:00,0.300599
2026-03-04 21:00:00,0.303767
2026-03-04 21:30:00,0.297595
2026-03-04 22:00:00,0.293145
2026-03-04 22:30:00,0.298347
2026-03-04 23:00:00,0.400454
2026-03-04 23:30:00,0.289407
2026-03-05 00:00:00,0.298327
2026-03-05 00:30:00,0.301385
2026-03-05 01:00:00,0.292751
2026-03-05 01:30:00,0.293648
2026-03-05 02:00:00,0.303582
2026-03-05 02:30:00,0.296603
2026-03-05 03:00:00,0.290538
2026-03-05 03:30:00,0.297627
2026-03-05 04:00:00,0.295887
2026-03-05 04:30:00,0.297226
2026-03-05 05:00:00,0.39123
2026-03-05 05:30:00,0.296218
2026-03-05 06:00:00,0.297702
2026-03-05 06:30:00,0.296737
2026-03-05 07:00:00,0.30067
2026-03-05 07:30:00,0.289502
2026-03-05 08:00:00,0.389933
2026-03-05 08:30:00,0.393924
2026-03-05 09:00:00,0.287611
2026-03-05 09:30:00,0.294351
